Alpha Acid Composition,Alpha Acid Composition,Aliases,Beta Acid Composition,Beta Acid Composition,Caryophyllene Oil,Characteristics,Co-Humulone Composition,Co-Humulone Composition,Cone Density,Cone Size,Country,Ease of Harvest,East of Harvest,Farnesene Oil,Growth Rate,Humulene Oil,Humulene Oil Composition,Myrcene Oil,Myrcene Oil Composition,Name,Purpose,Resistant to,Seasonal Maturity,Storability,Style Guide,Substitutes,Susceptible to,Total Oil,Total Oil Composition,Yield Amount,Yield Amount, Style Guide, Substitutes
13%-16.2%,,,4.8%-6.1%,,6%-7%,Aggressive but smooth bittering with an orange-citrus and herbal resonance,37%-45%,,Compact,Small to medium,UK,,Easy to moderate,1.8%-2.2%,Very high,,23%-26%,,39%-48%,Admiral,Bittering,Resistant to verticillium wilt and downy mildew,Mid,Retains 85% alpha acid after 6 months storage at 20 degrees C,"Extra Special Bitter, American India Pale Ale, Belgian India Pale Ale, Imperial India Pale Ale, India Pale Ale, Pale Ale, Bitter"," Chinook, Northdown, Challenger, Centennial, Cascade (US), Amarillo, Target",Susceptible to powdery mildew,,1-1.7 mL/100g,1300-1900 kg/hectare (1160-1700 lbs/acre),,,
9%-14%,,,4%-6.5%,, 8%-10%,Strong spicy and herbal notes,4%-6.5%,,,,Czech Republic,,, < 1%,,, 15%-20%,, 40%-55%,Agnus,Bittering & Aroma,,, Fair to poor,"Czech Pilsner, German Lager, Pale Ale",,,, 2.0-3.0 mL/100g,,,,
15%-20%,,,5.5%-8%,,14%-20%,"Sharp, clean bittering, grapefruit notes",23%-28%,,Compact, Small to medium,US,Fair,,1%,Moderate,,20%-35%,,30%-50%,Apollo,Bittering,Resistant to downy mildew,Mid to late,Retains 80%-90% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Imperial India Pale Ale, Experimental Beers","Nugget, Columbus, Zeus, Magnum, Millennium",Susceptible to powdery mildew,,1.5-2.5 mL/100g,2900-3350 kg/hectare (2600-3000 lbs/acre),,,
8.4%-13%,,,5.3%-8%,,7.7%,"Moderate bittering potential, pleasant aroma",34%,,,, US,,,Trace, Moderate to high,,11.8%,,66.4%,Banner,Bittering,, Early,Retains 43% alpha acid after 6 months storage at 20ºC (68ºF),Bitter,"Aquila, Cluster, Galena", Susceptible to downy mildew,,2.17 mL/100g,2017 kg/hectare (1800 lbs/acre)),,,
15.4%-18.8%,,,6.1%-8%,,8.4%,"Use for bittering only, has no notable aroma",36%-41%,,,, US,,,1.2%,,,7.5%,, 68.2%,Bitter Gold,Bittering,,, Retains 55.6% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Lager, Pilsner, Bitter, India Pale Ale","Galena, Nugget",,, 0.81-3.92 mL/100g,,,,
14%-17%,,,3%-5%,,10%-12%,"Spicy, earthy, and lightly floral aroma",29%-34%,,Moderate to compact,Medium,US,Difficult,,0%-1%,Very high,,18%-20%,,25%-50%,Bravo,Bittering,Resistant to powdery mildew and verticillium wilt,Late,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, American Pale Ale, Extra Special Bitter","Columbus, Zeus, Apollo, Magnum, Nugget",Susceptible to downy mildew,,1.6-2.4 mL/100g,2700-3100 kg/hectare (2410-2770 lbs/acre),,,
7.1%-11.3%,,,3.3%-6.1%,,6.5%,Notes of spice and blackcurrant,3.3%-6.1%,,Compact,Small,UK,,Easy,None,Very high,,11.6%,,66.7%,Brewer’s Gold,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, American Pale Ale, Bitter, Barley Wine, Imperial Stout","Bullion, Cascade, Galena, Northern Brewer (US), Northdown",,,1.96 mL/100g,1760-2400 kg/hectare (1570-2140 lbs/acre),,,
8.1%-13.1%,,,3.7%-6.8%,,35%,,41%,,,Medium,US,,,Trace,,,35%,,40%,Brewer’s Gold (US),Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew, virus free",Late, Poor,India Pale Ale,"Bullion, Cascade, Galena, Northern Brewer, Northdown",,,1.8 mL/100g,1681-2690 kg/hectare (1500-2400 lbs/acre),,,
6.7%-12.9%,,,3.7%-9.1%,,9%-11%,Elements of spice and dark fruits,39%,,Compact,Medium,UK,Difficult,,None,Very high,,23%-30%,,45%-55%,Bullion,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Early,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),"Stout, Doppelbock, Barley Wine, Imperial Stout","Columbus, Northern Brewer, Galena, Chinook, Brewer’s Gold",Infected with most viruses,,1.14-2.70 mL/100g,2000-2400 kg/hectare (1780-2140 lbs/acre),,,
8%-13.8%,,,2.8%-6.9%,,7%, Same as Bullion,42%,,, Small to medium,,,,0.2%,Very high,,12%,,63%,Bullion 10A,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Early,Poor,"Stout, Doppelbock, Barley Wine, Imperial Stout"," Columbus, Northern Brewer, Galena, Chinook, Brewer’s Gold",,,1.55 mL/100g,2240-2800 kg/hectare (2000-2500 lbs/acre),,,
5.5%-8.5%,,,4.5%-5.5%,,, Generic hop bitterness and flavor,36%-42%,,,,US,,,,,,,,,California Cluster,Bittering,,,,"American Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale","Eroica, Galena",,,,,,,
12%-15.5%,,,8.5%-11.5%,, 9%-12%," Strong, brutish bitterness",33%-35%,,,, US,,, <1%,,, 12%-15%,, 45%-55%,Chelan,Bittering,Resistant to verticillium wilt,Early to mid,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),American Ale,"Galena, Nugget",Moderately susceptible to downy mildew,, 1.5-1.9 mL/100g,2460-2910 kg/hectare (2200-2600 lbs/acre),,,
5.5%-8.5%,, Australian Cluster, 4.5%-5.5%,, 6%-7%,"Strongly resinous, herbal character", 36%-42%,, Medium,,Australia,, Easy, <1%, High,, 15%-18%,, 45%-55%,Cluster (AUS),Bittering & Aroma,, Early to mid, Retains 80-85% alpha acid after 6 months storage at 20ºC (68ºF)," Lager, Stout, Ale"," Northern Brewer, Galena", Susceptible to downy mildew,,0.4-1 mL/100g, 1900-2400 kg/hectare (1695-2141 lbs/acre),,,
9.4%-12.4%,,,3%-6.1%,,10%,"Strong grapefruit, dank resin flavors",41%,,,,US,,,0.1%,Very high,,1%,,67%,Comet,Bittering & Aroma,Resistant to verticillium wilt,Late,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, American Ale, India Pale Ale, Ale","Galena, Summit™",Susceptible to downy mildew,,1.98 mL/100g,1900-2240 kg/hectare (1700-2000 lbs/acre),,,
11%-14%,,,5%-6%,,7%-8%,,27%,,,,Japan,,,3%,Very high,,19%,,42%,Eastern Gold,Bittering,Moderately resistant to downy mildew,Late,Retains 81% alpha acid after 6 months storage at 20ºC (68ºF)," Kirin No. 2, Brewer’s Gold",,,,1.43 mL/100g,,,,
12.3%,,,4.5%,,7%-13%, Sharp fruity essence,40%,,Compact,Medium,,,Easy,0%-1%,Very high,,0%-1%,,55%-65%,Eroica,Bittering,Moderately resistant to downy mildew and resistant to verticillium wilt,Late to very late,Retains 77% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, Pale Ale, Amber Ale, Porter, India Pale Ale","Bullion, Brewer’s Gold, Galena","Susceptible to prunus necrotic ringspot, apple mosaic virus and hop mosaic virus",,0.8-1.3 mL/100g,2020-2470 kg/hectare (1800-2200 lbs/acre),,,
12%-16%,,Feux-Coeur Francais,3.1%-6%,,,,,,,,Australia,,,,,,,,,Feux-Coeur,Bittering,,,,,,,,,,,,
12%,,,7.5%,,3%-6%,Fruity aroma,39%,,Compact,Medium,US,Easy,,0%-1%,Moderate,,10%-15%,,55%-60%,Galena,Fruity aroma,Resistant to downy mildew and peronospera,Mid,Retains 75%-80% alpha acid after 6 months storage at 20ºC (68ºF),"Imperial Stout, Stout, India Pale Ale, Barley Wine","Nugget, Columbus, Zeus, Chinook, Pride of Ringwood, Eroica, Newport, Cluster, Brewers Gold","Susceptible to prunus necrotic ring-spot virus, powdery mildew and aphids",,0.9-1.3 mL/100g,1790-2240 kg/hectare (1600-2000 lbs/acre),,,
9%-12%,,,5%-6%,,8%-10%,,22%,,,,Japan,,,6%-7%,,,31%,,34%,Kitamidori,Bittering,,Late,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),," Kirin No. 2, Saaz, Toyomidori, Eastern Gold",,,1.35 mL/100g,1490 kg/hectare (1330 lbs/acre),,,
12%-14%,,Hallertau Magnum,4.5%-5.5%,,8%-12%,"Clean bitterness, subtle citrus flavors",24%-25%,,Moderate,Large,Germany,Difficult,,0%-1%,Moderate,,34%-40%,,30%-35%,Magnum,Bittering,Resistant to verticillium wilt and peronospora,Late,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"India Pilsner, Belgian India Pale Ale, American Ale, Blonde Ale, Pale Ale, Nut Brown Ale, Dark Ale, Pilsner, Bright Ale, Hefeweizen","Hallertauer Taurus, Columbus, Nugget",,,1.9-2.3 mL/100g,1340-1700 kg/hectare (1200-1520 lbs/acre),,,
10%-14%,,Yakima Magnum,4.5%-7%,,,"Clean bittering, light citrus flavor",24%-30%,,,,US,,,,,,,,,Magnum (US),Bittering,,,,"American Pale Ale, American India Pale Ale, Strong Ale, American Lager","Magnum, Horizon, Northdown, Northern Brewer",,,1.9-3.0 mL/100g,,,,
14.5%-16.5%,,,4.3%-5.3%,,9%-12%,"Mild, herbaceous, elements of resin",28%-32%,,,,,,,< 1%,,,23%-27%,,30%-40%,Millennium,Bittering,,,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),"Stout, Ale, American Ale","Columbus, Nugget, Summit™, CTZ",,,1.8-2.2 mL/100g,2464-2913 kg/hectare (2200-2600 lbs/acre),,,
13.5%-17%,,New Port,7.2%-9.1%,,1%-7%,"Clean bitterness, flavors of wine and balsamic",36%-38%,,Loose to moderate,Medium to large,,Difficult,,0%-1%,Moderate,,9%-1%,,47%-54%,Newport,Bittering,Resistant to powdery mildew and downy mildew,Mid to late,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),"Pale Ale, Amecan Lager","Galena, Nugget",,,1.6-3.6 mL/100g,1990-2250 kg/hectare (1775-2000 lbs/acre),,,
12%-13.5%,,,4.1%-5.1%,,9%-10%,,25%-30%,,Compact,Small to medium, South Africa,,Difficult,0%-1%,Moderate,,28%-33%,,38%-43%,Outeniqua,Bittering,,Mid to Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Pilsner,Southern Star,,,1.6-1.6 mL/100g,1590-1940 kg/hectare (1420-1730 lbs/acre),,,
13%-16%,,,7%-9%,,7%-11%,Notes of oak and blackberry,37%-40%,,Compact,Medium to large,New Zealand,Difficult,,0%-1%,High,,18%-30%,,33%-55%,Pacific Gem,Bittering & Aroma,,Early to mid,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),"Strong Ale, European Lagers",Fuggle,,,1.2-1.4 mL/100g,2380-2380 kg/hectare (2120-2120 lbs/acre),,,
12.5%-14.5%,,,6%-6.5%,,6%-9%,,27%-30%,,,, New Zealand,,,0%-1%,High,,19%-25%,,45%-55%,Pacific Sunrise,Bittering,,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Lager,Pacific Gem,,,1.7-2 mL/100g,,,,
8%-11.5%,,,3.3%-5%,,,,28%-37%,,,, UK,,, < 1%,,,,, 30%-40%,Pilot,Bittering,Resistant to wilt,,,,,,, 0.8-1.4 mL/100g,,,,
7%-11%,,,4%-8%,,5%-10%,"  Spicy, fruity aroma",33%-39%,, Compact, Medium to large,Australia,,,< 1%,High,,2%-8%,,25%-53%,Pride of Ringwood,Bittering, Verticillium Wilt,Mid-Late,Retains 45-55% alpha acid after 6 months storage at 20ºC (68ºF),"Amber Ale, Lager, Fruit Lambic, Pale Ale, Australian Lager, Strong Ale, Golden Ale, American Pale Ale","East Kent Goldings, Centennial, Galena, Cluster",  Downy mildew,,1.21 mL/100g,1010-1560 kg/hectare (900-1400 lbs/cre),,,
12.5%-14%,,,8.5%-9%,,7%-10%,,32%-35%,,Moderate,Medium,US,,Moderate,0%-1%,Moderate to high,,15%-20%,,40%-45%,Satus®,Bittering,Resistant to powdery mildew and sperotheca,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Pale Ale, Stout, Barley Wine, Imperial Stout","Nugget, Galena",,,1.5-2.8 mls/100 grams,2450-2550 kg/hectare (2190-2275 lbs/acre),,,
11.5%-16%,,,6%-7.5%,,7%-11%,"Flavors of lemon citrus, orange, dill, cilantro",23%-28%,,,,Japan,,,2%-5%,High,,20%-26%,,44%-55%,Sorachi Ace,Bittering & Aroma,Resistant to downy mildew and botrytis,Mid,,"Lager, Pilsner, Saison",,,,1.5-3 mL/100g,,,,
5.6%-12%,,,2.8%-5%,,4%-10%,,33%-42%,,Moderate to compact,Medium to large,,,Difficult,3%-11.2%,Moderate to high,,10%-26%,,50%-62%,Southern Brewer,Bittering,Resistant to powdery mildew and verticillium wilt,Early to mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),,Southern Promise,,,0.4-1.5 mL/100g,1320-2210 kg/hectare (1180-1980 lbs/acre),,,
12%-14%,,,4.8%-5.2%,,15%,,31%-31%,,Moderate to compact,Medium, South Africa,,Difficult,12%-12%,High,,22%,,39%,Southern Star,Bittering,,Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),,Outeniqua,,,1.6-1.6 mL/100g,1590-2470 kg/hectare (1420-2205 lbs/acre),,,
4.5%-6.5%,,,2.1%-3.1%,,7.9%-8.1%,"Complex aroma, subtle notes of green-tea and vanilla",26%-30%,,,,UK,,,3.5%-3.7%,,,21%-26%,,25%-30%,Sovereign,Bittering,,,,"American Lager, American Pale Ale",,,,0.6-1 mL/100g,,,,
16%-18%,,,3.3%-4.3%,,10%-16%,Citrus aromas,26%-33%,,Moderate to compact,Medium,US,Difficult,,0%-1%,High,,15%-25%,,30%-50%,Summit™,Bittering,"Resistant to powdery mildew, verticillium wilt and phytophthora root rot",Mid,Retains 85%-85% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Barley Wine, Imperial Stout","Columbus, Simcoe®, Apollo",Susceptible to downy mildew,,1.5-3 mL/100g,2200-2700 kg/hectare (1965-2410 lbs/acre),,,
13.5%-15%,,,6.4%-6.9%,,5%-8%,,26.8%-28%,,,, Australia,,,0%-1%,,,1%-2%,,19%-34%,Super Pride,Bittering,,,,"Imperial Pale Ale, Lager",Pride of Ringwood,,,2.1-2.6 mL/100g,2310-3200 kg/hectare (2060-2860 lbs/acre),,,
16%-18%,,,5%-5.6%,,9%,,44%,,,,,,,8.8%,,,,,39%,Symphony,Bittering,,Late,,,,,,2.6 mL/100g,,,,
13.5%-15.5.%,,,9.5%-11.5%,,7%,Elements of stone fruit and citrus,35%,,,,US,,,None,Very high,,14%,,40%,Tillicum®,Bittering,Moderately sisceptible to downy mildew,Early,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,"Galena, Chelan",,,1.5 mL/100g,2240-2690 kg/hectare (2000-2400 lbs/acre),,,
11%-13%,,,5%-6%,,4%-5%,,40%,,,,Japan,,,Trace Amounts,High,,9%-12%,,59%,Toyomidori,Bittering,,Mid,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),,,Moderately sisceptible to downy mildew,,1.06 mL/100g,1055 kg/hectare (940 lbs/acre),,,
14.5%-18%,,,4.3%-6%,,8%-11%,Aromas of citrus and spice,22%-28%,,Moderate,Medium,US,Difficult,,0%-1%,High,,15%-20%,,40%-50%,Warrior®,Bittering,Resistant to powdery mildew and sphaerotheca,Mid,Retains 76%-76% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, American Ales","Nugget, Columbus",,,1-2 mL/100g,2400-2600 kg/hectare (2140-2320 lbs/acre),,,
4.4%-9.8%,,Late Cluster L-8,3%-6.1%,,6%-7%,,42%,,,,US,,,< 1%,High,,18%,,45%-55%,Yakima Cluster,Bittering,,Early,Retains 85% alpha acid after 6 months storage at 20ºC (68ºF),,Chinook,Susceptible to downy mildew,,0.24-0.90 mL/100g,2020-2250 kg/hectare (1800-2000 lbs/acre),,,
9%-11%,,,3%,,7%,,25%,,,,,,,Trace Amounts,Moderate to high,,18%,,52%,Zenith,Bittering,Resistant to downy mildew and powdery mildew,Early,Retains 82% alpha acid after 6 months storage at 20ºC (68ºF),,,Susceptible to verticillium wilt,,1.76 mL/100g,,,,
13%-17.5%,, CTZ,4.5%-6.5%,,5%-10%,"Sweet citrus, herbal aromas",30%-40%,,,, US,,,< 1%,Very high,,9%-14%,,45%-55%,Zeus,Bittering,Resistant to powdery mildew,Mid to late,,,Columbus,,,2.4-4.5 mL/100g,2690-3365 kg/hectares (2400-3000 lbs/acre),,,
10%-12%,,,4%-5%,,4.3%,,25%,,,Small to medium,Slovenia,,,10.4%,,,7.6%,,61.1%,Ahil,Aroma,,,Retains 46% alpha acid after 6 months storage at 20ºC (68ºF),Belgian Ale,,,,1.8-2.2 mL/100g,1540 kg/hectare (1370 lbs/acre),,,
4%-6.3%,,,5%-6.5%,,9%-12%,Distinct citrus chracter with notes of grapefruit,30%-35%,,Compact,Small,US,,,0%-1%,Moderate,,16%-20%,,50%-55%,Ahtanum™,Aroma,Resistant to downy mildew and Peronospora,Mid,Retains 50%-55% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Pale Ale, Heffeweisen, American Ales, Lagers, Californian Common, Bitters","Cascade, Amarillo®, Simcoe®, Centennial, Willamette",,,0.8-1.2 mL/100g,1775-1950 kg/hectare (1585-1740 lbs/acre),,,
8%-11%,,Amarillo Gold,6%-7%,,2%-4%,Orange citrus flavor,21%-24%,,Compact,Small,US,,Moderate,2%-4%,Moderate to high,,9%-11%,,68%-70%,Amarillo®,Aroma,,Mid,Retains 96% alpha acid after 6 months storage at 20ºC (68ºF),"American Pale Ale, India Pale Ale, American Wheat, Bitter, Wheat Beer, Red Ale, ESB","Cascade (US), Centennial, Ahtanum™, Chinook, Summer",,,1.5-1.9 mL/100g,1200-1600 kg/hectare (1075-1420 lbs/acre),,,
2%-6%,,,7%-8%,,6%,"Notably earthy, citrusy and spicy",20%-28%,,,,Czech Republic,,,,,,19%,,42%,Amethyst,Aroma,,,,"Pale Ale, Lager",,,,0.4-1 mL/100g,,,,
6.7%-8.9%,,,4.1%-4.9%,,5%,,46%,,,, US,,,2.2%,Very high,,2%,,62%,Aquila,Aroma,"Moderately resistant to downy mildew, resistant to verticillium wilt",Mid to late,Retains 40% alpha acid after 6 months storage at 20ºC (68ºF),Belgian Farmhouse Ale,"Cluster, Galena",,,1.45 mL/100g,2380 kg/hectare (2120 lbs/acre),,,
7.9%-8.3%,,,3.8%-4.5%,,7.4%,"Sweet with notes of spice, citrus and herbs",42%,,,,France,,,2%-4%,,,21%,,40%,Aramis,Aroma,,,,"Pilsner, Lager, Wheat, Saison, India Pale Ale, Belgian Ales, Pale Ale, Porter","Willamette, Challenger, Ahtanum™, Strisselspalt, Centennial, Chinook, Hallertau, Tettnanger",,,1.2-1.6 mL/100g,,,,
9%-11%,,Styrian Atlas,4%,,4%,"Intense notes of lime, blossom, and pine",36%,,,,Slovenia,,,13.3%,Moderate to high,,9%,,59%,Atlas,Aroma,,Late,Retains 50% alpha acid after 6 months storage at 20ºC (68ºF),"American Pale Ale, Belgian Ale",," Prunus, Hop Mosaic and Necrotic Ringspot",,1.3-1.6 mL/100g,730 kg/hectare (650 lbs/acre),,,
3.1%-6.9%,,,4%-7.4%,,,,25%,,,,Serbia,,,,High to very high,,,,,Backa,Aroma,,,Retains 67% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner",,Moderately susceptible to downy mildew,,0.60 mL/100g,,,,
7%-8%,,"Bianco, Bianca Gold",3.4%,,8%,,20%-28%,,,, US,,,13%,High to very high,,25%,,30%,Bianca,Aroma,Moderately resistant to downy mildew,Early,,"Lager, Pilsner, Belgian Ale", Sunbeam,,,0.6-1.0 mL/100g,,,,
4.5%,,,3.5%,,5%,Similar delicate aroma profile to other Saaz hops,21%,,,, Czech Republic,,,11.2%,Low,,18%,,47%,Blato,Aroma,,,Retains 65% alpha acid after 6 months storage at 20ºC (68ºF),"Lager,Pilsner",,Moderately susceptible to downy mildew,,0.65 mL/100g,670 kg/hectare (600 lbs/acre),,,
9.7%-14.1%,,,3.3%-4.8%,,3.7%,,33%,,,,Slovenia,,,15.6%,Very high,,12%,,58%,Blisk,Aroma,Resistant to downy mildew,Mid to late,Retains 45% alpha acid after 6 months storage at 20ºC (68ºF),"English Ale, Extra Special Bitter, Lager, Pilsner",,,,2.01 mL/100g,1350-3250 kg/hectare (1200-2900 lbs/acre),,,
7%-10%,,,3%-4%,,15%-19%,Delicate aroma of orchard blossoms and grass. Subtle spicy character.,26%,,,,UK,,,5%,,,20%,,33%,Boadicea,Aroma,Resistant to wilt and downy mildew,,,Pilsner,,,,1.4-2.0 mL/100g,,,,
2%-3%,, BOR 704,3%-4%,,13%,,14%-20%,,,,US,,,Trace Amounts,Moderate to high,,46%,,21%,BOR,Aroma,Resistant to verticillium wilt,Early,Retains 67% alpha acid after 6 months storage at 20ºC (68ºF),"German Pilsner, Pale Ale, Wheat Beer",,Moderately susceptible to downy mildew,,0.65 mL/100g,1010-1790 kg/hectare (900-1600 lbs/acre),,,
5.8%,,,3%,,,Pleasant European aroma,27%,,,,UK,,,,Low,,,,,Bramling,Aroma,Resistant to verticillium wilt,Early,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),"Golden Ale, Bitter, Rye Ale, India Pale Ale, Stout, Golden Ale, Imperial Stout, Pale Ale, Holiday Ale","Whitbread Golding, Progress, East Kent Golding",Moderately susceptible to downy mildew,,0.90 mL/100g,670-1120 kg/hectare (600-1000 lbs/acre),,,
4%-7%,, BC Golding,,,,"Exhibits an earthy aroma profile with a flavor profile of smooth, rounded spice.",,,,,Canada,,,,,,,,,British Columbia Golding,Aroma,,Early,,"English Pale Ale, Stout, Porter","East Kent Golding, Golding (American), Fuggle, Willamette",,,,,,,
5%,,,5%-6%,,2%,"Mild cherry flavor, grapefruit peel aroma",47%,,,,Canada,,,4%-7%,Very high,,2%,,70%,Canadian Redvine,Aroma,Moderately resistant to downy mildew,Late,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),"Red Ale, Canadian Porter, French Porter","Newport, Magnum, Galena",,,11.20 mL/100g,2240 kg/hectare (2000 lbs/acre),,,
,,,,,, Delicate flavor,,,,,UK,,,,,,,,,Canterbury Whitebine,Aroma,,,,," East Kent Goldings, Mathon",,,,,,,
3.2%,,,4.5%-7%,,," Lemongrass, pepper and spice",33%-40%,,,,Argentina,,,,,,,,,Cascade (Argentina),Aroma,,,,"Barley Wine, American Pale Ale, Kolsch, Cream Ale, Wheat, Blonde","Hallertau, Tettnang, East Kent Golding",,,,,,,
5%-7%,,,5%-7%,, 3%-9%, Same as Cascade (US) but with notes of grapefruit,33%-40%,,,,Australia,,, 5%-9%,,, 40%-60%,, 40%-60%,Cascade (Australia),Aroma,,,,"Barley Wine, American Pale Ale, Australian Lager","Hallertau, Goldings",,, 0.8%-1.3%,,,,
6%-8%,,,2%-3%,,6.2%," European aroma, similar to Styrian hops",24%,,,,Slovenia,,,7.1%,,,16.5%,,47.9%,Cekin,Aroma,Moderately resistant to downy mildew,Late,Retains 79% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.07 mL/100g,630 kg/hectare (560 lbs/acre),,,
5%-6%,,,3%-4%,,7.2%,Floral and citrus aroma,25%,,,,Slovenia,,,5.6%,,,17.6%,,49.5%,Celeia,Aroma,Moderately resistant to downy mildew,Early,Retains 56% alpha acid after 6 months storage at 20ºC (68ºF),"English Ale, Lager, American Lager, Pilsner, English Ale, Extra Special Bitter","Saaz, Bobek, Styrian Golding",,,1.31 mL/100g,960 kg/hectare (850 lbs/acre),,,
4.4%-6.7%,,Cobb’s Golding,1.9%-2.8%,,,,26%-32%,,,Medium,,,Moderate to difficult,,High,,,,,Cobb,Aroma,,Mid,Retains 46% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, English Ales","East Kent Golding, Early Bird","Sensitive to wilt, susceptible to downy mildew and powdery mildews",,0.8-1.0 mL/100g,1500-2000 kg/hectare (1330-1780 lbs/acre),,,
8.8%,,,4%,,7%,"Pungent hoppy kick, twist of lemon citrus",40%,,,Medium,,,,4.1%,,,17%,,55%,Columbia,Aroma,Resistant to downy mildew and verticillium wilt,Late,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.21 mL/100g,1710 kg/hectare (1520 lbs/acre),,,
