Alpha Acid Composition,Alpha Acid Composition,Aliases,Beta Acid Composition,Beta Acid Composition,Caryophyllene Oil,Characteristics,Co-Humulone Composition,Co-Humulone Composition,Cone Density,Cone Size,Country,Ease of Harvest,East of Harvest,Farnesene Oil,Growth Rate,Humulene Oil,Humulene Oil Composition,Myrcene Oil,Myrcene Oil Composition,Name,Purpose,Resistant to,Seasonal Maturity,Storability,Style Guide,Substitutes,Susceptible to,Total Oil,Total Oil Composition,Yield Amount,Yield Amount, Style Guide, Substitutes
7%-12%,,,4%-8%,,8.2%," Pleasant European aroma, mildly fruity",27%,, Compact, Small,Belgium,,,0.16%,Moderate to high,,24%-28%,,< 50%,Record,Aroma, Moderately resistant to downy mildew,Early,Retains 58% alpha acid after 6 months storage at 20ºC (68ºF)," Ale, Lager, Pilsner, Wheat, Belgian Ale", Northern Brewer," Infected with Prunus Necrotic Ringspot, Hop Mosaic and Hop Latent virus",,1.82 mL/100g,1345 kg/hectare (1200 lbs/acre),,,
,,,,,,"Spicy, woody aroma and flavor with an undernote of citrus",,,,,Australia,,,,,,,,,Red Earth,Aroma,,,," California Common, American Pale Ale",,,,,,,,
4.5%-6.5%,,D Saaz,4%-5%,,4%,Notes of grapefruit and kumquat,29%-36%,,Loose,,New Zealand,,,1%,,,9%,,68%,Riwaka,Aroma,,Early,,"India Pale Ale, Pilsner, American Pale Ale",Saaz,,,0.8 mL/100g,,,,
2.5%-4.5%,,"Saaz, Czech Saaz, Saazer, Czech Saazer",4%-6%,,6%-9%,"Noble, herbal character",23%-28%,,Loose to moderate,Small to medium,Czech Republic,Moderate,,14%-20%,Moderate,,15%-30%,,25%-40%,Saaz,Aroma,,Mid,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Saaz (US), Sterling, Lubelska-Pulawy, Moteuka, Centennial, Amarillo®","Susceptible to downy mildew, powdery mildew and wilt",,0.4-0.8 mL/100g,800-1200 kg/hectare (714-1071 lbs/acre),,,
3%-4.5%,,"US Saaz, American Saaz",3%-4.5%,,7%-11%,"Mild, earthy, spicy, herbal",24%-28%,,Loose to Moderate,Small to medium,US,Moderate,,9%-13%,Low,,23%-40%,,25%-37%,Saaz (US),Aroma,,Early,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Saaz, Hallertau, Tettnanger, Lubelska, Sterling",,,0.5-1 mL/100g,600-1000 kg/hectare (540-890 lbs/acre),,,
5%-8%,,,5.3%-8.5%,,4.8%-8.8%,"Soft, herbal, floral, fruity aromas with hints of pepper and spice",18%-24%,,Loose,Small to medium,US,Difficult,,13%-16%,Moderate to high,,23%-26%,,25%-36%,Santiam,Aroma,Resistant to downy mildew,Mid,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),"American Blonde Ale, American Lager, India Pale Ale, American Pale Ale, Wheat, Bock","Tettnanger, Spalt, Spalter Select, Hallertau, Liberty",Susceptible to powdery mildew,,1.3-1.7 mL/100g,1430-1780 kg/hectare (1280-1580 lbs/acre),,,
2%-4.5%,,Sapphire,4%-7%,,9%-14%,Sweet citrus aromas with hints of tangerine,12%-17%,,,,Germany,,,< 1%,,,20%-30%,,25%-40%,Saphir,Aroma,,Early,,"Pilsner, Lager","Hallertau, Hallertau Tradition, Spalter Select",,,0.8-1.4 mL/100g,1600-1900 kg/hectare (1427-1695 lbs/acre),,,
8%-10%,,Wye Saxon,4%-5%,,5.6%, Pleasant aroma,20%,,,,UK,,,6.7%,Low to moderate,,11.8%,,54%,Saxon,Aroma,Resistant to verticillium wilt,Early,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.95 mL/100g,500 kg/hectare (450 lbs/acre),,,
3%-4%,,"Silver Hop, Silver",3%,,8%," Continental aroma and taste with hints of black tea, herbs and tobacco",23%,,,, Russia,,,12%,Low,,27%,,30%,Serebrianka,Aroma, Moderately resistant to downy mildew,Early,Retains 53% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.41 mL/100g,220 kg/hectare (200 lbs/acre),,,
4.7%-8.3%,,"Shinshu-Wase, Shinshu Wase",4%-6.1%,,20.3%, Lemon aromas,51%,, Loose,,Japan,,,0.1%,Very high,,12%,,57.5%,Shinshuwase,Aroma,"Resistant to verticillium wilt, moderately resistant to downy mildew",Late,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),,"Saaz, Hallertau, Santiam","Infected with the cherry and apple strains of the Prunus Necrotic Ringspot Virus, Hop Latent Virus and American Hop Latent Virus",,0.42-0.98 mL/100g,1790-2470 kg/hectare) (1600-2200 lbs/acre),,,
4.5%-8%,," Czech Sladek, VUCH 71",4%-7%,,9%-14%," Classic hoppy aroma, flavors of peach passionfruit and grapefruit",23%-30%,,,,Czech Republic,,,< 1%,,,20%-40%,,35%-50%,Sladek,Aroma,,,,"Lager, Pilsner", Saaz,,,1.0-2.0 mL/100g,,,,
2.6%-6%,,Sonnet Golding,,,,"Deep floral aroma, grass, earth, flavors of oak and honey",,,,, US,,,,,,,,,Sonnet,Aroma,,,,"English Ales, American Ales, German Ales, Belgian Ales, Lager","Saaz, East Kent Goldings, Crystal, Strisselspalt, Hersbrucker",,,,,,,
2.5%-5.7%,,"Spalter, Spalt Spalter, Spalter Spalt, German Spalt",3%-5%,,8%-13%,"Earth, spice",22%-29%,,Compact,Small to medium,Germany,Moderate,,12%-18%,Poor,,20%-30%,,20%-35%,Spalt,Aroma,Resistant to verticillium wilt and downy mildew,Early,Retains 50%-60% alpha acid after 6 months storage at 20ºC (68ºF),"German Ale, Lager, Pilsner, Bock, Kolsch","Saaz, Tettnanger, Santiam, Liberty, Hallertau",,,0.5-0.9 mL/100g,1120 kg/ hectare (1000 lbs/acre),,,
3%-6.5%,,"Select Spalt, Spalt Select",2%-5%,,6%-8%,,20%-28%,,Compact, Small to medium, Germany,,Difficult,10%-15%,High,,15%-20%,,40%-50%,Spalter Select,Aroma,Resistant to verticillium wilt and downy mildew,Mid to Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Kölsch, Belgian Ale, French Ale, Lager, Bock, Helles, Alt, Pilsner, Marzen","Saaz, Tettnanger, Spalt, Hersbrucker, Perle, Hallertau Tradition",,,0.5-1.2 mL/100g,1750-2000 kg/hectare (1561-1784 lbs/acre),,,
3.2%,,,1.7%,,11.7%,Pleasing continental-style aroma,24%,,,,Belgium,,,3.7%,Low,,33.9%,,34%,Star,Aroma,Tolerant to downy mildew,Early,Retains 82% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.47 mL/100g,560 kg/hectare (500 lbs/acre),,,
1.8%-5.7%,,"French Strisselspalt, Strisselspalter",2.5%-6%,,8%-10.3%,"Pleasant continental-style aroma, herbal, floral, spicy, citrus, fruit",20%-27%,,Moderate to compact,Medium,France,Moderate,,< 1%,High to Low,,12%-32%,,35%-52%,Strisselspalt,Aroma,Resistant to verticillium wilt,Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Saison, Blonde Ale, Amber Ale, Belgian Ale, Bock, Maibock, Golden Ale, Belgian Pale Ale","Liberty, Hallertau, Mt Hood, Crystal, Hersbrucker",,,0.6-0.9 mL/100g,900 kg/hectare (800 lbs/acre),,,
2.8%-6%,,"Styrian, Savinja Golding, Savinjski Golding, Styrian Savinjski Golding, Yugoslavia Golding",2%-3%,,9%-11%,Resinous and earthy with hints of white pepper,25%-30%,,Compact,Medium,Austria and Slovenia,Moderate,,2%-5%,Moderate,,34%-38%,,27%-33%,Styrian Golding,Aroma,,Early,Retains 65%-80% alpha acid after 6 months storage at 20ºC (68ºF),"Extra Special Bitter, Ale, Lager, Belgian Ale","Fuggle, Willamette, Bobek",,,0.5-1 mL/100g,1150-1500 kg/hectare (1025-1330 lbs/acre),,,
5.6%-6.4%,,Australian Summer,4.8%-6.1%,,8%-11%,"Subtle flavors of apricot, melon, peach and grass",20%-25%,,,,Australia,,,< 1%,,,28%-50%,,29%-38%,Summer,Aroma,,,,"Ale, Wheat, Belgian Ale, American Ale, India Pale Pale",Saaz,,,1.4-2.0 mL/100g,1800-2000 kg/hectare (1605-1784 lbs/acre),,,
12%-16%,,, 4.5-7%,, 5%-10%, Pronounced herbaceous aroma and flavor,  30%-40%,,,, US,,, < 1%,Very high,, 10%-15%,, 55%-70%,Sun,Bittering,, Mid to late,,"Barley Wine, Imperial Stout","Magnum, Galena, Zeus",,,,2250 kg/hectare (2000 lbs/acre),,,
4%-5%,,,2.5%,,4%,Saaz-style characteristics,36%,,,, US,,,6%,Very high,,14%,,56%,Sunbeam,Aroma,Moderately resistant to downy mildew and verticillium wilt, Early,," Pilsner, Ale", Saaz,,,0.8-1.3 mL/100g,,,,
6.7%-8.2%,,,2.1%-3.1%,,,,34%,,,, UK,,,,Moderate to high,,0.9%,,55%,Sunshine,Aroma,Moderately resistant to downy mildew,Early to mid,Retains 50% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.35 mL/100g,560-900 kg/hectare (500-800 lbs/acre),,,
4.3%-5.8%,,,2.4%-3.2%,,,Delicate tropical flavors and a unique fruit-forward aroma,29%-32%,,,,UK,,,< 1%,High,,23%,,42%,Sussex,Aroma,Tolerant to verticillium wilt and moderately resistant to downy and powdery mildew,,,"English Ale, Pale Ale, Belgian Ale","Progress, Whitbread Golding, Fuggle",,,0.4-0.6 mL/100g,,,,
5.6%-7.3%,," Australian Sylva, AU Sylva, Silva",3%-4.6%,, 5%-8%," Flavors of the forest and fresh-cut timber, subtle and hoppy bohemian-style aroma",20%-25%,,,,Australia,,, 22%-28%,,,18%-27%,,26%-36%,Sylva,Aroma,,,," Pilsner, Lager, California Common, Pale Ale"," Hallertau Mittlefrüh, Helga, Saaz",,, 1.0-1.4 mL/100g,,,,
7.2%-8.2%,,,8.5%-9.5%,,2.9%-3.5%,"Subtle flavors and aromas of lemon citrus, orange, wood and spice",15%-17%,,,,US,,,< 1%,,,9%-11%,,67%-72%,Tahoma,Aroma,,,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),"Blonde Ale, Wheat, Lager",,,,1.0-2.0 mL/100g,2000-2200 kg/hectare (1784-1962 lbs/acre),,,
3.1%-5.5%,,,3.1%-5.5%,,5.7%,"Mild, European-style aroma",20%,,,,France,,,0.2%,Moderate to high,,13%,,44%,Tardif de Bourgogne,Aroma,Moderately resistant to downy mildew,Late,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Lager",Precoce de Burgnogne,,,0.49-0.73 mL/100g,1345-1790 kg/hectare (1200-1600 lbs/acre),,,
0.6%-1.8%,,,5.4%-13.2%,,,No bitterness whatsoever,,,,,,,,,,,,,,Teamaker,Aroma,,Mid,,Pale Ale,,,,,,,,
3%-5.8%,,"Tettnang, Tettnang Tettnanger, German Tettnang, Tettnanger (GR), Schwetzinger, Deutscher Frühopfen",2.8%-5.3%,,6.2%,Balanced floral and herbal aromas with some spiciness,24%,,Moderate to compact,Medium,Germany,,,11.3%,Moderate to high,,20.4%,,40.6%,Tettnanger,Bittering & Aroma,"Resitant to verticillium wilt, moderately resistant to downy mildew",Early,Retains 61% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, California Blonde Ale, Red Ale, Pilsner, Lager, American Amber Ale, Winter Ale, Pale Ale, Wheat Beer, Bavarian Hefeweizen, Cream Ale, American Lager","Saaz, Spalt, Santiam, Spalter Select, Tettnanger (US)",,,0.36-1.07 mL/100g,1120-1569 kg/hectare (1000-1400 lbs/acre),,,
4.1%-6.3%,,,3.6%-5.7%,,,Noble aroma,22%,,,,Switzerland,,,,High,,,,,Tettnanger (Swiss),Aroma,Moderately resistant to downy mildew,Early,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Wheat Beer, Pilsner","Tettnang Tettnanger, Fuggle, Czech Saaz, Spalter, Ultra",,,0.42-1.13 mL/100g,1120-1450 kg/hectare (1000-1300 lbs/acre),,,
4.4%,,,5%,,5.1%,Pleasant continental-style aroma,23%,,,,Germany,,,13.6%,Moderate to high,,16.6%,,47.2%,Tettnanger A,Aroma,Tolerant to downy mildew and verticillium wilt,Early,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Tettnanger, Saaz, Hallertau",,,0.85 mL/100g,< 1120 kg/hectare (< 1000 lbs/acre),,,
5.3%,,,5.2%,,4.1%,Pleasant continental-style aroma,23%,,,,Germany,,,11.5%,Moderate to high,,14%,,53.8%,Tettnanger B,Aroma,Moderately resistant to downy mildew and verticillium wilt,Early,Retains 50% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner","Tettnanger, Saaz, Hallertau",,,0.90 mL/100g,< 1120 kg/hectare (< 1000 lbs/acre),,,
2.2%,,,2.9%,,7.7%,Subdued but pleasant continental-style aroma,31%,,,,UK,,,8.3%,Low,,19.4%,,42.5%,Tolhurst,Aroma,Moderately resistant to downy mildew,Early,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.65 mL/100g,335-785 kg/hectares (300-700 lbs/acre),,,
13.7%-17.7%,,,6.4%-7.9%,,7%-13%,"Light, tropical fruit flavors of lychee, clove-like spice and resinous grassy tones when dry hopped",48%-51%,,,,Australia,,,< 1%,,,8%-13%,,34%-56%,Topaz,Bittering & Aroma,,,,"India Pale Ale, American Pale Ale, Bitter, Amber","Galaxy, Citra®, Cascade, Riwaka, Rakau, Amarillo®",,,1.7-2.2 mL/100g,3800-4200 kg/hectares (3390-3747 lbs/acre),,,
8%-9%,,"French Triskel, FR Triskel",4%-4.7%,,6.1%,"Floral aroma, subtly fruity, citrusy",20%-23%,,,,France,,,< 1%,,,13.5%,,60%,Triskel,Aroma,Tolerant to downy mildew,,,"Belgian Ale, Saison, Kolsch, Pilsner, Pale Ale, India Pale Ale, Lager, Wheat","Strisselspalt, Ahtanum™, Centennial, Chinook, Simcoe®",,,1.5-2.0 mL/100g,,,,
3%-5%,,,3.6%-5%,,10%-15%,Midly spicy aroma and flavor,25%-35%,,Moderate,Small,US,Difficult,,0%-1%,Low to moderate,,30%-40%,,25%-35%,Ultra,Aroma,Resistant to downy mildew and verticillium wilt,Late,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),"Oktoberfest, Blonde Ale, Harvest Ale, Lager, Pilsner, Pale Ale, American Lager, Bock","Tettnanger (GR), Saaz, Hallertauer Tradition, Liberty",,,0.8-1.2 mL/100g,2017-2241 kg/hectare (1800-2000 lbs/acre),,,
4.40%-6%,,,6%-7%,,12%-14%,,14%-16%,,Loose to Moderate,Small to medium,US,Difficult,,0%-1%,Moderate,,45%-50%,,20%-25%,Vanguard,Aroma,Resistant to downy mildew,Early,Retains 75%-80% alpha acid after 6 months storage at 20ºC (68ºF),"Porter, Cream Ale, Lager, Rye Ale, Amber Ale, Belgian Ale, French Ale","Liberty, Mount Hood, Hallertauer Mittelfrüh, Saaz",,,0.9-1.2 mL/100g,1300-1700 kg/hectare (1160-1520 lbs/acre),,,
8%-10%,,Wye Viking,4%-5%,,5.3%,Pleasantly hoppy,21%-24%,,,,UK,,,9.1%,Low,,10.5%,,47.3%,Viking,Aroma,Resistant to downy mildew,Mid,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),American Brown Ale,Saxon,Susceptible to verticillium wilt,,1.16 mL/100g,1120-1345 kg/hectare (1000-1200 lbs/acre),,,
6.1%-10.5%,,,2.3%-4.7%,,5%,Noble aroma characteristics,30%,,,,Yugoslavia,,,0.6%,Very high,,13%,,67%,Vojvodina,Bittering & Aroma,Resistant to downy mildew,Late,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),,"Northern Brewer, Goldings",,,0.6-1.4 mL/100g,1720 kg/hectare (1540 lbs/acre),,,
2.5%-3.5%,,,4.5%-5.5%,,9%,Lime citrus and stone fruit notes,22%-24%,,Compact,,New Zealand,,,13%,,,28%,,30%,Wai-iti,Aroma,,Early to mid,,"Pale Ale, India Pale Ale, Wheat Beer",Riwaka,,,1.6 mL/100g,,,,
5%-7.5%,,"WGV, Whitbread, Whitbread Golding Variety",2.5%-3.5%,,9%-13%,"Pleasant, fruity, European style aroma",33%-37%,,Loose,Medium,UK,,Hard,<2.1%,Moderate to high,,38%-42%,,24%-27%,Whitbread Golding,Bittering & Aroma,Tolerant to verticillium wilt,Early to mid,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Pale Ale, Bitter","Fuggle, East Kent Golding",Moderately susceptible to downy mildew,,0.8-1.22 mL/100g,1350-1450 kg/hectare (1190–1278 lbs/acre),,,
4%-6%,,,3%-4%,,7%-8%,"Heraceous spiciness, floral, fruity",30%-35%,,Loose to Moderate,Small to medium,US,,Difficult,5%-6%,High,,20%-30%,,30%-55%,Willamette,Aroma,Resistant to prunus necrotic ring-spot virus and downy mildew,Early to mid,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, American Ales, Pale Ale, Brown Ale, English Ales, Porter","Fuggle, Styrian Golding, Tettnanger (US), Glacier, Styrian Golding",,,1-1.5 mL/100g,1340-1700 kg/hectare (1200-1520 lbs/acre),,,
5%-7.2%,,,3.9%-5.7%,,7%-10%,"Mildly resinous, floral character",30%-35%,,,,Australia,,,5%-7%,,,25%-35%,,30%-40%,Willamette (AUS),Bittering & Aroma,,,,"Ale, American Ales, Pale Ale, Brown Ale, English Ales, Porter","Fuggle, Styrian Golding, Tettnanger (US), Glacier, Savinjski Golding",,,1.4-2 mL/100g,,,,
5%,,Wurttemberger,4%,,6%,Pleasant European-style noble aroma,28%,,,,Germany,,,4%,Moderate to high,,18%,,59%,Wuerttemberger,Aroma,"Resistant to verticillium wilt, moderately resistant to downy mildew",Early,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pilsner",,,,1.25 mL/100g,,,,
5.2%,,,4.3%,,,"Mild bitterness, pleasant noble aroma",21%,,,,Czech Republic,,,,Low,,,,,Zlatan,Aroma,,Early,,,,Moderately susceptible to downy mildew,,,220 kg/gectare (200 lbs/acre),,,
10%-12.5%,,,4.7%-6.2%,,,"Notes of tangerine, grapefruit, pine and pineapple",28%-31%,,,, US,,,,,,,,,Zythos®,Bittering & Aroma,,,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),American Ale,"Simcoe®, Amarillo®",,,0.7-1.2 mL/100g,,,,
4.6%-7.5%,,,1.6%-5.1%,,11.3%,,29%,,,, UK,,,1.9%,,,33%,,36.7%,Alliance,Bittering & Aroma,Moderately resistant to verticillium wilt, Early,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.47-1.35 mL/100g,1050 kg/hectare (940 lbs/arce),,,
5.5%-9%,,,4.2%-8.3%,,,Deep earthy aroma,,,,,US,,,,,,,,,Amallia,Bittering & Aroma,, Early,,"Brown Ale, Dark Ale",,,,,,,,
10%-12%,,,4%,,4%,,2.25%,,,,Slovenia,,,11.3%,High to very high,,26%,,63%,Apolon,Bittering & Aroma,Moderately resistant to downy mildew,Late,Retains 57% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, India Pale Ale",,,,1.3-1.6 mL/100g,1000 kg/hectare (890 lbs/acre),,,
7%-12%,,Super Styrian,2.7%-5%,,5%-9%,Spicy,22%-26%,,,,Slovenia,,,5%-10%,High to very high,,17%-25%,,51%,Aurora,Bittering & Aroma,Moderately resistant to downy mildew,Mid to late,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF),"American Pale Ale, Dark Lager","Styrian Golding, Northern Brewer",,,0.9-1.8 mL/100g,1055 kg/hectare (940 lbs/acre),,,
14%-16%,,Azaaca,4%-5.5%,,8%-12%,"Aromas of tropical fruits and citrus. Tasting notes of spicy mango, pineapple, tangerine and pine.",38%-45%,,,,US,,,< 1%,,,14%-18%,,46%-55%,Azacca ®,Bittering & Aroma,,Mid to late,,India Pale Ale,,,,1.6-2.5 mL/100g,2465-2690 kg/hectare (2200-2400 lbs/acre),,,
,,,,,,,,,,,UK,,,,,,,,,Bate’s Brewer,,,,,,,,,,,,,
9.4%-12.1%,,,,,,"Notes of orange, melon, strawberry, pineapple with a hint of grapefruit",,,,,US,,,,,,,,,Belma,Bittering & Aroma,,,,"Pale Ale, Blonde, IPA",,,,,,,,
6%-8%,,,3%-4%,,10%,,24%,,,,Belgium,,,None,,,29%,,27%-40%,Blue Northern Brewer,Bittering & Aroma,Resistant to downy mildew and moderately resistant to verticillium wilt,Early,Retains 78% alpha acid after 6 months storage at 20ºC (68ºF),India Pale Ale,Chinook,,,0.76 mL/100g,90-730 kg/hectare (80-650 lbs/acre),,,
3.5%-9.3%,,"Styrian Golding B, Styrian Bobek",4%-6.6%,,4%-6%,"Pleasant aroma, pine",26%-31%,,,Small,Slovenia,,,3%-7%,Moderate,,12%-19%,,30%-63%,Bobek,Bittering & Aroma,"Moderately resistant to downy mildew, resistant to verticillium wilt",Medium to late,Retains 66% alpha acid after 6 months storage at 20ºC (68ºF),"English Ale, Extra Special Bitter, Lager, Pilsner","Fuggle, Willamette, Styrian Golding",,,0.7-4 mL/100g,900 kg/hectare (800 lbs/acre),,,
5.2%-9%,,,2.4%-3.3%,,3.40%,"Aromas of herb, grass and spice alongside a citrus and floral character",20-25%,,,,,,,,,,34%,,38%,Bouclier,Bittering & Aroma,,,," English Ales, Pale Ale, Lager, Imperial Stout, Saison, Pils, Blonde",,,,1.1-1.6 mL/100g,,,,
5%-7.8%,,,2.3%-3.2%,,14%-18%,"Notes of lemon, blackcurrant, blackberries and plums particularly when used as a late addition.",33%-35%,,Moderate,Medium,UK,Difficult,,0%-1%,Moderate to high,,28%-33%,,35%-40%,Bramling Cross,Bittering & Aroma,Resistant to powdery mildew and downy mildew,Early to mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Golden Ale, Strong Ale,Stout, Porter","Whitbread Golding, Progress, East Kent Golding",Susceptible to verticillium wilt,,0.7-1.2 mL/100g,1500-1680 kg/hectare (1340-500 lbs/acre),,,
11%,,,4.9%,,5.4%,,24%,,,,Slovenia,,,5.5%,Moderate,,17%,,57%,Buket,Bittering & Aroma,"Moderately resistant to downy mildew, resistant to verticillium wilt",Early,Retains 53% alpha acid after 6 months storage at 20ºC (68ºF),"BEnglish Ale, Extra Special Bitter, Lager, Pilsner",,,,2.15 mL/100g,1190 kg/hectare (1060 lbs/acre),,,
8%-10%,,,,,,Floral and citrus notes,,,,,US,,,,,,,,,Buzz Bullets,Bittering & Aroma,,,,"India Pale Ale, Lager, American Ales",,,,,,,,
5.8%-7.9%,,,4%-7.8%,,2%-6%,"Floral, fruity and earthy flavor and aroma",36%-44%,,,,New Zealand,,Difficult,0%-1%,Moderate to high,,12%-19%,,54%-68%,Calicross,Bittering & Aroma,,Late,Retains 78%-78% alpha acid after 6 months storage at 20ºC (68ºF),"English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale",,Susceptible to downy mildew,,0.42-1.39 mL/100g,1200-2300 kg/hectare (1070-2050 lbs/acre),,,
15.3%,,,4.3%,,,"Falvors of citrus, peach and pine, aromas of stone fruit and mandarin",35%,,,,US,,,,,,,,,Caliente,Bittering & Aroma,,,,"India Pale Ale, Wheat, Pale Ale, Spice Beer",,,,1.9 mL/100g,,,,
12%-14%,,,5%-6%,,9–15%,"Crisp, fruity aroma. Flavour of Apples, pears, stone fruit and lime citrus.",40%-42%,,Compact,Very large,US,,,<1%,,,20–35%,,30–45%,Calypso,Bittering & Aroma,Resistant to powdery mildew and tolerant to downy mildew,Early,Retains 65-70% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Stout, Barley Wine",,,,1.6%-2.5%,2800-3370 kg/hectare (2500-3000 lbs/acre),,,
6%-8%,,,5%-5.5%,,, Similar to US Cascade but more subdued,21%-24%,,,,New Zealand,,,,,,,,,Cascade (New Zealand),Bittering & Aroma,,,,"Barley Wine, American Pale Ale, Imperial Stout, Ale, Lager","Hallertau, Goldings, Ahtanum, Centennial",,,,,,,
4.5%-8.9%,,,3.6%-7.5%,,4%-6%,"Floral, with elements of citrus and notes of grapefruit",33%-40%,,Compact,Medium,US,Difficult,,4%-8%,Moderate to high,,8%-16%,,45%-60%,Cascade (US),Bittering & Aroma,,Mid,Retains 48%-52% alpha acid after 6 months storage at 20ºC (68ºF),"Barley Wine, American Pale Ale, Ale, Lager","Centennial, Amarillo, Columbus, Ahtanum", Some resistance to downy mildew and verticillium wilt,,0.8-1.5 mL/100g,2017-2465 kg/hectare (1800-2200 lbs/acre),,,
7.7%-9.1%,,,3.3%-7.1%,,12%-13%,"Smooth bitterness, herbal aroma, flavors of lemon, lime and melon",22%-24%,,,,US,,,<1%,,,26%-29%,,39%-42%,Cashmere,Bittering & Aroma,,,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),Saison,,,,1.2-1.4 mL/100g,,,,
9.5%-11.5%,,Super Cascade,3.5%-4.5%,,5%-8%,Earthy and floral with an element of citrus,28%-30%,,Compact,Medium,US,Difficult,,0%-1%,Moderate,,10%-18%,,45%-55%,Centennial,Bittering & Aroma,"Resistant to prunus necrotic ring-spot virus, downy mildew and verticillium wilt",Mid,Retains 60%-65% alpha acid after 6 months storage at 20ºC (68ºF),"Extra Special Bitter, Barley Wine, Imperial Stout, India Pale Ale, Pale Ale","Chinook, Galena, Nugget, Zeus, Columbus, Cascade (US)",Susceptible to hop mosaic virus,,1.5-2.5 mL/100g,1500-1750 kg/hectare (1330-1560 lbs/acre),,,
5%-6%,,,4%-4.5%,,6%, Saaz-like aroma,25%,,,, Slovenia,,,3%,High to very high,,13.2%,,58%,Cerera,Bittering & Aroma,Moderately resistant to downy mildew,Late,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.54 mL/100g,1090 kg/hectare (965 lbs/acre),,,
