Alpha Acid Composition,Alpha Acid Composition,Aliases,Beta Acid Composition,Beta Acid Composition,Caryophyllene Oil,Characteristics,Co-Humulone Composition,Co-Humulone Composition,Cone Density,Cone Size,Country,Ease of Harvest,East of Harvest,Farnesene Oil,Growth Rate,Humulene Oil,Humulene Oil Composition,Myrcene Oil,Myrcene Oil Composition,Name,Purpose,Resistant to,Seasonal Maturity,Storability,Style Guide,Substitutes,Susceptible to,Total Oil,Total Oil Composition,Yield Amount,Yield Amount, Style Guide, Substitutes
6.5%-9%,,Wye Challenger,3.2%-4.5%,,8%-10%,,20%-25%,,Moderate to compact,Medium to large,UK,Difficult,,1%-3%,Moderate,,25%-32%,,30%-42%,Challenger,Bittering & Aroma,Resistant to downy mildew and powdery mildew,Late,Retains 70%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Golden Ale, Barley Wine, Imperial Stout","Perle (US), Northern Brewer, Admiral",Susceptible to verticillium wilt,,1-1.7 mL/100g,1400-1800 kg/hectare (1240-1610 lbs/acre),,,
12%-14%,,,3%-4%,,9%-11%,Bouquet of pine and spice,29%-34%,,Compact,Medium,,Difficult,,0%-1%,Moderate to high,,18%-25%,,35%-40%,Chinook,Bittering & Aroma,,Mid to late,Retains 68%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Winter Ale, Pale Ale, India Pale Ale, Porter, Stout, Lager, Barley Wine, American Lager, American Ale","Galena, Eroica, Nugget, Bullion, Columbus, Northern Brewer, Target",,,1.5-2.7 mL/100g,1700-2230 kg/hectare (1520-2000 lbs/acre),,,
6%-7%,, HBC 394,2.4%,,7%,,29%,,,,Slovenia,,,3%,Moderate to high,,18%,,51%,Cicero,Bittering & Aroma,Moderately resistant to downy mildew,Late,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),American Pale Ale,,,,1.05 mL/100g,810 kg/hectare (720 lbs/acre),,,
10%-15%,,Citra® Brand HBC 394 cv, 3%-4.5%,,5%-8%,"Citrus, grapefruit, lime, tropical fruits, harsh bitterness",20%-35%,,Tight,Medium,US,Easy to moderate,,< 1%,Medium to high,,7%-12%,,60%-70%,Citra ®,Bittering & Aroma,"Downy mildew, powdery mildew and verticillium wilt",Mid,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, American Ales, Amber","Simcoe®, Cascade (US), Centennial, Mosaic®",Aphids,,1.5-3 mL/100g,1600-1800 kg/hectare (1400-1600 lbs/acre),,,
5.5%-9%,,,4%-6%,,6%-10%,"Clean, neutral, slightly floral",36%-42%,,Compact,Medium,US,Difficult,,0%-1%,Very high,,15%-20%,,38%-55%,Cluster (US),Bittering & Aroma,Resistant to prunus necrotic ring-spot virus,Mid,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale, American Lager","Eroica, Galena",Susceptible to downy mildew and powdery mildew,,0.4-0.8 mL/100g,1600-2140 kg/hectare (1420-1900 lbs/acre),,,
,,"Cagneau, Cagnau, Carnau",,,,,,,,,Belgium,,,,,,,,,Coigneau,,,,,"Lambic, Pilsner",,,,,,,,
14%-18%,,"Tomahawk®, CTZ",4.5%-6%,,6%-12%,,28%-35%,,Compact,Medium to large,US,Difficult,,0%-1%,Moderate to high,,9%-25%,,25%-55%,Columbus,Bittering & Aroma,,Mid to late,Retains 50%-60% alpha acid after 6 months storage at 20ºC (68ºF),"Imperial Brown Ale, Barley Wine, Imperial Stout, American Ales, Stout","Zeus, Chinook, Northern Brewer, Nugget, Target, Warrior®, Millenium, Bullion",Susceptible to downy mildew and powdery mildew,,1.5-4.5 mL/100g,2000-2500 kg/hectare (1780-2230 lbs/acre),,,
5.5%-7%,,Hopsteiner 04188,5.5%-7%,,9%-15%,Spicy with notes of melon and citrus,22%-24%,,,,US,,,0%-1%,,,25%-35%,,25%-40%,Delta,Aroma,Resistant to downy mildew,Early to mid,Retains 80%-90% alpha acid after 6 months storage at 20ºC (68ºF),"American Pale Ale, American India Pale Ale, ESBs","Cascade, Nelson Sauvin, Fuggle, Willamette",Susceptible to powdery mildew,,0.5-1.1 mL/100g,1600-2000 kg/hectare (1400-1800 lbs/acre),,,
10%-12%,,"SuperAlpha, Dr Rudi",7%-8.5%,,6%-10%,"Grass, pine and citrus flavors",36%-39%,,Compact,Medium,New Zealand,Difficult,,0%-1%,Moderate to high,,22%-33%,,29%-48%,Dr Rudi,Bittering & Aroma,,Early to mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, India Pale Ale",Green Bullet,,,1.3-1.6 mL/100g,1940-1940 kg/hectare (1730-1730 lbs/acre),,,
18%-19%,,"EXP #: 05256, Exp Pine Fruit",5%-6%,,0.2%,"Falvors of citrus, peach and pine, aromas of stone fruit and mandarin",27%,,,,,,,,,,29.8%,,43%,Eureka,Bittering & Aroma,,,,"Imperial India Pale Ale, India Pale Ale, American Ales, American Red, Saison",,,,3.10 mL/100g,,,,
9.5%-12%,,,4%-5%,,,"Distinct tropical, floral, lemon and grapefruit attributes",20%-25%,,,,US,,,,,,,,,Falconer’s Flight®,Bittering & Aroma,,,,"India Pale Ale, Pale Ale, Lager","Cascade, Columbus, Centennial",,,1.6-4.6 mL/100g,,,,
4.3%,,,,,,"Fruit, noble aromas, cream, caramel",,,,,,,,,,,,,,Fantasia®,Bittering & Aroma,,,,,,,,0.9 mL/100g,,,,
5.6%-9.3%,,,2.3%-4.1%,,6%-7%,"Tangerine, orange, cinnamon aroma, marmalade flavors",31%-36%,,Moderate to compact,Medium to large,UK,Difficult,,2%-4%,Moderate,,20%-24%,,24%-28%,First Gold,Bittering & Aroma,Resistant to powdery mildew and verticillium wilt,Mid,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Porter, English Bitter, Wheat Beer, Celtic Ale, Summer Ale, Amber Ale, Dark Amber Ale, India Pale Ale, Imperial India Pale Ale","Willamette, East Kent Golding, Styrian Golding",Susceptible to downy mildew,,0.7-1.5 mL/100g,1100-1700 kg/hectare (980-1500 lbs/acre),,,
5%,, ,2.4%,,20.2% , ,26% ,, , , ,, ,3.9% ,Low,,24% ,,49% ,Fuggle Tetraploid,Bittering & Aroma,Resistant to downy mildew ,Early  ,Retains 69% alpha acid after 6 months storage at 20 degrees C , , , ,,0.93 mL/100g ,< 1120 kg/hecatare (< 1000 lbs/acre) ,,,
11%-16%,,,5%-6.9%,,7%-9%,"Citrus, peach and passionfruit aromas",32%-42%,,,,Australia,,,2%-4%,,,1%-2%,,33%-67%,Galaxy ®,Bittering & Aroma,,Mid to late,,"Pale Ale, India Pale Ale, ESB","Citra®, Amarillo®, Centennial",,,3-5 mL/100g,,,,
3.3%-9.7%,,,5.4%-10%,,7%-13%,"Herbs, wood and citrus",11%-16%,,Compact,Medium,,Easy,,0%-1%,Moderate,,24%-36%,,33%-62%,Glacier,Bittering & Aroma,,Mid,Retains 70%-75% alpha acid after 6 months storage at 20ºC (68ºF),"Extra Special Bitter, India Pale Ale, Wheat Beer, American Pale Ale","Willamette, Fuggle (US), Tettnanger, Golding (US)",Susceptible to powdery mildew and downy mildew,,0.7-1.6 mL/100g,2400-2600 kg/hectare (2140-2320 lbs/acre),,,
4%-4.2%,,, 4.6%-4.8%,, 13.3%,, 20%-25%,, Loose, Small,New Zealand,,, 0.3%, Moderate,,48.4%,, 13.8%,Goldings (NZ),Bittering & Aroma,, Early to mid,," English Pale Ale, Pale Ale", East Kent Golding,,, 0.3 mL/100g,,,,
11%-15%,,,2.9%-7%,,19%-20%,Aromas of raisin and fruit,38%-43%,,Compact,Medium to Large,New Zealand,Easy,,9.2%-20%,Moderate to high,,19%-28.2%,,38.3%-53%,Green Bullet,Bittering & Aroma,Resistant to downy mildew,Late Season,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Bock, Saison, India Pale Ale","Liberty, Hallertau, Crystal, Mount Hood, Ultra",,,0.46-1.13 mL/100g,2100-2400 kg/hectare (1875-2140 lbs/acre),,,
5.2%,,,7.2%,,,"Fruity, woody aromas",,,,, US,,,,,,,,,Greensburg,Bittering & Aroma,,,,,,,,,,,,
12.3%-17.9%,,"German Taurus, Taurus",4%-6%,,8%,"Chocolate, banana, spice, pepper, curry",23%-25%,,Moderate,Medium,Germany,Difficult,,0%-1%,Moderate,,30%-31%,,30%,Hallertauer Taurus,Bittering & Aroma,Resistant to verticillium wilt,Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Schwarzbier, Oktoberfest","Magnum, Merkur, Herkules",Susceptible to powdery mildew,,0.9-1.5 mL/100g,1410-1590 kg/hectare (1260-1420 lbs/acre),,,
11.9%-12.8%,,,4.8%-5.5%,,7%,,35%-37%,,Moderate to compact,Large, UK,,Difficult,0%-1%,Moderate,,15%-15%,,40%-40%,Herald,Bittering & Aroma,"Resistant to verticillium wilt, powdery mildew and downy mildew",Early,Retains 60%-70% alpha acid after 6 months storage at 20 degrees C,"Pale Ale, Golden Ale",Pioneer,,,1-1.9 mL/100g,1200-1250 kg/hectare (1070-1120 lbs/acre),,,
12%-17%,,,4%-5.5%,,7%-12%,"Notes of melon, black pepper and pine",32%-38%,,,,Germany,,,< 1%,,,28%-45%,,30%-50%,Herkules,Bittering & Aroma,Wilt,,,German Ale,,Downy and powdery mildew,,1.4-2.4 mL/100g, 2500-2700 kg/hectare (2230-2408 lbs/acre),,,
8.8%-16.5%,,,5.5%-8.5%,,8%-14%,"Floral, citrusy",16%-22%,,Compact,Medium,US,Difficult,,3%-5%,Moderate to high,,8%-20%,,45%-70%,Horizon,Bittering & Aroma,Resistant to verticillium wilt,Mid to late,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Light Ale, Red Ale, Pumpkin Ale",Magnum,Susceptible to downy mildew,,0.5-2 mL/100g,1800-2000 kg/hectare (1610-1780 lbs/acre),,,
4.5%-7%,,,4.5%-5.5%,,5%-8%,,26%-31%,,Moderate,Medium,Germany,Difficult,,0%-1%,Moderate,,9%-21%,,28%-51%,Hüller Bitterer,Bittering & Aroma,"Resistant to verticillium wilt, peronospora, powdery mildew",,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),"Schwarzbier, Lager",,,,1-1.5 mL/100g,1150-1370 kg/hectare (1020-1220 lbs/acre),,,
8%,,,6.4%,,9.4%,,43%-45%,,,,Japan,,,0.2%,,,14%,,50%,Kirin II,Bittering & Aroma,,Very late,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.18mL/100g,1860 kg/hectare (1660 lbs/acre),,,
7.8%-8.4%,,,,,," Notes of blackberry, black currant, orange and grapefruit. Floral and spicy.",,,,,US,,,,,,,,,Legacy™,Bittering & Aroma,,,,"Ale, Lager, Stout, India Pale Ale","Cluster, Galena, Northern Brewer",,,,,,,
9%-12%,,,10.2%-13%,,10%-13%,Earthy and herbal flavors and aromas,26%-33%,,Compact,Medium,Poland,Difficult,,1.8%-2.2%,Moderate,,36%-33%,,28%-31%,Marynka,Bittering & Aroma,,Early to mid,Retains 60%-70%alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, India Pale Ale, Pale Ale, Pilsner",Tettnanger,,,1.8-2.2 mL/100g,1940-2200 kg/hectare (1730-1970 lbs/acre),,,
7%-10%,,,2.5%-5%,,,"Clean spicy bitterness, aromas of passionfruit, grapefruit and citrus.",25%-35%,,Compact,,Australia,,,,,,,,,Melba,Bittering & Aroma,,Early,,,Galaxy,,,2.0-4.0 mL/100g,2200-2800 kg/hectare (1962-2498 lbs/acre),,,
12%-16.2%,,Hallertau Merkur,5%-7.3%,,8%-9%," Earthy, spicy bitterness, citrus zing",17.8%-19%,,Moderate,Medium,Germany,,Difficult,0%-1%,Moderate,,29%-32%,,48%-49%,Merkur,Bittering & Aroma,"Resistant to verticillium wilt, peronospora and powdery mildew",Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),,Hallertauer Magnum,,,2.6-3 mL/100g,1760-1940 kg/hectare (1570-1730 lbs/acre),,,
11.5%-13.5%,,HBC369,3.2%-3.9%,,5%-8%,,24%-26%,,,,,,,None,,,13%-16%,,47%-53%,Mosaic ®,Bittering & Aroma,,,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Pale Ale",Citra®,,,1-1.5 mL/100g,,,,
3.5%-5.5%,,,5.5%-8%,,,"Heady, floral aroma, some sweet fruit and citrus", 45%,,,,US,,,,,,,, 48%,MultiHead,Bittering & Aroma,, Early to mid,, Pale Ale,,,, 0.5-1.5 mL/100g,,,,
12%-13%,,,6%-8%,,10.7%,"Smooth bittering, rich, fruity, gooseberry and white-wine flavors",24%,,Compact,,New Zealand,,,10.7%,High,,36.4%,,22%,Nelson Sauvin,Bittering & Aroma,,Mid to late,,"American Pale Ale, India Pale Ale, Pale Ale","Pacific Jade, Pacifica",,,1.1 mL/100g,,,,
7%-9%,,,3%-3.3%,,,Significant lemon-citrus character,,,,,US,,,,,,,,,Neo1,Bittering & Aroma,, Very early,,,,,,,,,,
7.4%-12%,,,2.9%-5%,,8.9%,,36%,,,, Slovenia,,,5%,High to very high,,20%,,49%,Neoplanta,Bittering & Aroma,Moderately resistant to resistant to downy mildew,Late,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.3 mL/100g,1435 kg/hectare (1280 lbs/acre),,,
7%-10%,,,4%-5.5%,,13%-17%,"Fresh, flowery, piney, berry and spice",24%-32%,,Loose,Medium to large,,Difficult,,0%-1%,Moderate to high,,37%-45%,,23%-29%,Northdown,Bittering & Aroma,,Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Blonde Ale,"Challenger, Admiral",,,1.2-2.5 mL/100g,1320-1700 kg/hectare (1180-1520 lbs/acre),,,
9.5%,,,4%,,7.6%,Minty and resinous,26%,,,,,,,0.1%,Low to moderate,,21%,,56%,Northern Brewer,Bittering & Aroma,Moderately resistant to downy mildew and resistant to verticillium wilt,Early,Retains 77% alpha acid after 6 months storage at 20ºC (68ºF)," Lambic, Porter, California Common, European Ales, Stout",,,,1.61 mL/100g,900-1340 kg/hectare (800-1200 lbs/acre),,,
7%-10%,,"Hallertau Northern Brewer, Hallertauer Northern Brewer",3.5%-5%,,10%-20%,,27%-33%,,,,Germany,,,< 1%,,,35%-50%,,25%-45%,Northern Brewer (GR),Bittering,,,,"Steam Beer, German Ale, German Lager","Perle, Northern Brewer (US)",,,1.6-2.1 mL/100g,1600 kg/hectare (1420 lbs/acre),,,
8%-10%,,,3%-5%,,5%-10%,,20%-30%,,Moderate to compact,Medium,US,Difficult,,0%-1%,Moderate,,20%-30%,,50%-60%,Northern Brewer (US),Bittering & Aroma,Resistant to downy mildew,Early to mid,Retains 70%-85% alpha acid after 6 months storage at 20ºC (68ºF),India Pale Ale,"Northern Brewer, Chinook",,,1.5-2 mL/100g,1600-1800 kg/hectare (1420-1610 lbs/acre),,,
9.5%-14%,,,4.2%-5.8%,,7%-10%,"Solid bittering, light flavor, herbal aroma",22%-30%,,Compact,Medium to large,US,Difficult,,0%-1%,Moderate,,12%-22%,,48%-59%,Nugget,Bittering & Aroma,"Resistant to prunus necrotic ring-spot virus, downy mildew and powdery mildew",Mid,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Imperial India Pale Ale",Galena,"Resistant to prunus necrotic ring-spot virus, downy mildew and powdery mildew",,1.5-3 mL/100g,1700-2200 kg/hectare (1520-1970 lbs/acre),,,
13%-14%,,,3.5%-5.5%,,9%-10%,"Flavors of spice and citrus, slight sweetness",28%-34%,,,,Germany,Difficult,,0%-1%,Moderate,,20%-25%,,30%-45%,Opal,Bittering & Aroma,"Resistant to wilt, downy mildew and powdery mildew",Early to mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Pilsner, Hefeweizen, Helles, Lager, Brown Ale, Saison, Tripel, Wheat, Kolsch, Blonde Ale","East Kent Golding, Styrian Golding",,,0.8-1.3 mL/100g,1600-1650 kg/hectare (1420-1470 lbs/acre),,,
4%-6%,,,4%-6%,,14%,,25%,,,,New Zealand,,,2%,,,33%,,33%,Orbit,Bittering & Aroma,,,,,,,,1.5 mL/100g,,,,
8%-9%,,,4.94%-5.73%,,7%-13%,,25%-29%,,,,Germany,,Difficult,0%-1%,Moderate to high,,17%-26%,,41%-56%,Orion,Bittering & Aroma,Resistant to verticillium wilt and downy mildew,Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Helles,Perle,,,1.8-2.1 mL/100g,1500-1800 kg/hectare (1330-1610 lbs/acre),,,
8%-9%,,,8%,,10.2%,,28%,,,,Germany,,,0.2%,Very high,,29%,,44%,Perle,Bittering & Aroma,Resistant to verticillium wilt and downy mildew,"Mid (Germany), early (US)",Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),"Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch","Perle (US), Northern Brewer (GR)",Moderately susceptible to powdery mildew,,0.6-1.2 mL/100g,1680-2130 kg/hectare (1500-1900 lbs/acre),,,
6%-10%,,,3%-5%,,10%-12%,Faint spicy aroma,27%-32%,,Loose,Medium,US,Difficult,,0%-1%,Moderate,,28%-33%,,45%-55%,Perle (US),Bittering & Aroma,"Resistant to prunus necrotic ring-spot virus, downy mildew and powdery mildew",Early,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch","Perle (GR), Northern Brewer (GR)",,,0.7-1.2 mL/100g,1150-1600 kg/hectare (1020-1420 lbs/acre),,,
8.5%-13.5%,,,3.3%-5.5%,,8%-11%,"Aromas of spice, pine, chocolate and molasses",24%-33%,,Loose to moderate,Medium,UK,Difficult,,1%-1.4%,Low to moderate,,25%-32%,,24%-32%,Phoenix,Bittering & Aroma,Resistant to verticillium wilt and powdery mildew,Early,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Bitter, Golden Ale, Triple India Pale Ale, English Ale, Extra Special Bitter, Stout, Brown Ale","Northdown, Challenger, East Kent Golding",Susceptible to downy mildew,,1.2-3 mL/100g,980-1560 kg/hectare (870-1390 lbs/acre),,,
9%-13%,,,4.2%-5.2%,,7%,"Rounded bitterness, grassy herbs, pears, and spice",36%-38%,,Moderate,Medium to large,UK,Difficult,,0.3%,High,,17%,,36%-36%,Pilgrim,Bittering & Aroma,"Resistant to wilt, powdery mildew and downy mildew",Mid to Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"English Pale Ale, India Pale Ale, Wheat Beer, Stout, Barley Wine, Imperial Stout","Target, Pioneer, Challenger",,,1.8-1.8 mL/100g,2030 kg/hectare (1810 lbs/acre),,,
8%-10%,,,3.5%-4%,,7%-8%," Clean bittering, aromas of citrus, lemon, grapefruit, herbs and cedar",36%-40%,,Moderate to compact,Small to medium, UK,,Difficult,0%-1%,Low to moderate,,22%-24%,,31%-36%,Pioneer,Bittering & Aroma,Resistant to verticillium wilt and downy mildew and powdery mildew,Mid to Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Red Ale, Specialty Ale, Strong Bitter",East Kent Golding,,,1-1.8 mL/100g,1200-1500 kg/hectare (1070-1330 lbs/acre),,,
18%-23%,,German Polaris,4.5%-6%,,8%-13%," Floral and fruity aromas, spice, pine and mint",22%-28%,,,,Germany,,,< 1%,,,20%-35%,,50%,Polaris,Bittering & Aroma,,,,"Ales, Pale Ales, India Pale Ale",,,,4.0-5.0 mL/100g,,,,
8%-11%,,,6%-8%,,3%,,35%,,,,,,,Trace Amounts,High,,9%,,70%,Pride of Kent,Bittering & Aroma,Moderately resistant to downy mildew and verticillium wilt,Early,Retains 42% alpha acid after 6 months storage at 20ºC (68ºF),,Galena Hops,,,2.32 mL/100g,1010-1560 kg/hectare (900-1400 lbs/acre),,,
5.8%-10.9%,,AlphaAroma,2.6%-4.8%,,3%-8%,,27%,,,,New Zealand,,,5%,Very high,,15%,,44%-65%,Rakau,Bittering & Aroma,,Late to very late,Retains 72% alpha acid after 6 months storage at 20ºC (68ºF),"Pale Ale, Lager",,,,1.21 mL/100g,1230-3810 kg/hectare (1100-3400 lbs/acre),,,
12%-14%,,,4%-5%,,5%-8%,"Bright citrus flavors with earthy undertones, aromas of grapefruit, pine and herbs",15%-20%,,,Medium,US,Difficult,,0%-1%,Moderate to high,,10%-15%,,60%-65%,Simcoe®,Bittering & Aroma,Resistant to powdery mildew and sperotheca,,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),"Double India Pale Ale, India Pale Ale, Pale Ale",Summit,,,2-2.5 mL/100g,2300-2500 kg/hectare (2050-2230 lbs/acre),,,
4%-6%,,"Emerald, German Emerald",3.5%-5.5%,,9%-14%,"Predominantly fruity aroma with bold floral notes, flavors of earth and spice",13%-18%,,,,Germany,,,1%,,,30%-50%,,20%-40%,Smaragd,Bittering & Aroma,"Wilt, downy mildew and powdery mildew",Mid to late, Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Amber",,,,0.7-1.7 mL/100g,1850 kg/hectare (1651 lbs/acre),,,
7%-9.5%,,SmoothCone,3.4%-5.2%,,6%,,31%-31%,,,,New Zealand,,,0%-1%,Moderate to high,,21%,,55%,Smooth Cone,Bittering & Aroma,,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Lager,Cluster,,,0.38-1.14 mL/100g,650-1520 kg/hectare (580-1360 lbs/acre),,,
13%-14%,,,6%-7%,,4%,"Soft bitterness, lemon zest and pine needles",28%,,,,New Zealand,,,5%,Very high,,14%,,58%,Southern Cross,Bittering & Aroma,,Late,Retains 71% alpha acid after 6 months storage at 20ºC (68ºF),"Pale Ale, India Pale Ale, Lager",,,,1.59mL/100g,850 kg/hectare (750 lbs/acre),,,
9.5%-11.5%,,,3.6%-5.4%,,9%,"Smooth bitterness, woody, earthy",20%-22%,,Moderate to compact,Medium, Slovenia,,Difficult,0%-1%,Moderate to high,,26%-26%,,22%,Southern Promise,Bittering & Aroma,,Mid,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Lager, Pale Ale",Southern Brewer,,,0.7-0.7 mL/100g,1760-2210 kg/hectare (1570-1980 lbs/acre),,,
4.5%-9%,,,4%-6%,,5%-8%,"Spicy, citrus aroma, herbal notes",21%-28%,,Compact,Medium,US,Difficult,,11%-17%,Moderate to high,,19%-23%,,44%-48%,Sterling,Bittering & Aroma,Resistant to downy mildew and powdery mildew,Mid,Retains 60%-75% alpha acid after 6 months storage at 20ºC (68ºF),India Pale Ale,Saaz,,,0.6-1.9 mL/100g,1800-2000 kg/hectare (1610-1785 lbs/acre),,,
13%-14.2%,,,7.5%-8.5%,,3%-6%, Aromas of pine and citrus,40%-45%,,Moderate,Medium to large,New Zealand,Difficult,,4%-4.6%,High,,8%-11%,,51%-64%,Sticklebract,Bittering & Aroma,,Mid to Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Extra Special Bitter,Northern Brewer (GR),,,0.76-1.72 mL/100g,1900-2560 kg/hectare (1695-2290 lbs/acre),,,
3.5%-6.5%,,,3.5%-5.9%,,5%-10%,Balanced noble aroma,28%-35%,,,,Slovenia,,,6%-10%,,,19%-22%,,38%-47%,Styrian Gold,Bittering & Aroma,,Early,,,Styrian Golding,,,1.3-2.3 mL/100g,1600-2400 kg/hectare (1430-1140 lbs/acre),,,
10%-18.5%,,Wolf,5%-6%,,2%-3%,,22%-23%,,,,Slovenia,,,4.5%-6.5%,,,5%-9%,,60%-70%,Styrian Wolf,Bittering & Aroma,,,,"IPA, Pale Ale, Ale",,,,2.2-3.6 mL/100g,,,,
5.7%-6.7%,,,2.8%-3.6%,,5.9%,,53%,,,,US,,,0.2%,Excellent,,4%,,68%,Talisman,Bittering & Aroma,Moderately resistant to downy mildew and resistant to verticillium wilt,Very late,Retains 64% alpha acid after 6 months storage at 20ºC (68ºF),,,,,0.72 mL/100g,2240-2700 kg/hectare (2000-2600 lbs/acre),,,
8%-12.5%,,Wye Target,5%-5.5%,,0%-1%,,29%-35%,,Compact,Small to medium,UK,Difficult,,0%-1%,High,,8%-10%,,17%-22%,Target,Bittering & Aroma,"Resistant to powdery mildew, verticillium wilt",Late,Retains 45%-55% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, Pale Ale, Kentish Bitter, India Pale Ale, Brown Ale, American Lager","Fuggle, Willamette",Susceptible to downy mildew,,1.6-2.6 mL/100g,1350-1800 kg/hectare (1200-1610 lbs/acre),,,
4%-5%,,"US Tettnanger, American Tettnanger",3%-4.5%,,6%-7%,,20%-25%,,Moderate,Small to medium,US,Moderate,,5%-8%,Moderate,,18%-23%,,3%-45%,Tettnanger (US),Bittering & Aroma,,Early,Retains 55%-60% alpha acid after 6 months storage at 20ºC (68ºF),"Bitter, Blonde Ale, Red Ale, Pilsner, Lager, American Lager","Spalter Select, Santiam, Czech Saaz, Spalt",,,0.4-0.8 mL/100g,1000-1340 kg/hectare (890-1200 lbs/acre),,,
5.2%,,,3.7%,,,Noble aromas and mild bitterness,23%,,,,Czech Republic,,,,Low,,,,,Universal,Bittering & Aroma,,Early,,,Hallertauer Mittelfrüher,Moderately susceptible to downy mildew,,,< 220 kg/hectare (< 200 lbs/acre),,,
14%-17%,,"Victoria, Victoria’s Secret, Victoria Secret",6.1%-7.8%,,11%-15%,"Tropical fruit, pine, herbs",51%-56%,,,,Australia,,,0%-1%,,,12%-21%,,38%-41%,Vic Secret,Bittering & Aroma,,,,"Pale Ale, India Pale Ale, Stout, Porter",Galaxy,,,2.2-2.8 mL/100g,2310-3290 kg/hectare (2060-2935 lbs/acre),,,
14%-17%,,,8%-11%,,,Spicy hop aroma,,,,,Czech Republic,,,,,,,,,Vital,Bittering & Aroma,,,,,,,,,,,,
16%-19%,,,7%-9%,,3%,Citrus and pine,,,Compact,,New Zealand,,,5%,High,,10%,,60%,Waimea,Bittering & Aroma,,Mid to late,,"India Pale Ale, Pale Ale",Columbus,,,2.1 mL/100g,,,,
6.5%-8.5%,,"Hallertau Aroma, New Zealand Wakatu, Hal Aroma",8.5%,,8%,"Floral, lime aromas",28%-30%,,,,New Zealand,,,6.7%,,,17%,,36%,Wakatu,Bittering & Aroma,,,,"Lager, Pale Ale, Belgian Ale",,,,1.0 mL/100g,,,,
,,,,,,,,,,Large,,,,,,,,,,Willow Creek,Bittering & Aroma,,Early to mid,,,,,,,,,,
8.8%-10.5%,,Yakima Goldings,4.3%-5%,,6%-8%,,21%-23%,,,,US,,,9%-10%,,,21%-25%,,45%-50%,Yakima Gold,Bittering & Aroma,,,,,,,,1.9-2.3 mL/100g,,,,
12%-16%,,Wye Yeoman,4%-5%,,10%,,25%,,,,UK,,,Trace Amounts,Moderate to high,,20%,,48%,Yeoman,Bittering & Aroma,Resistant to verticillium wilt and downy mildew and powdery mildew,Early,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,,,,1.7-2.4 mL/100g,1610-1680 kg/hectare (800-1500 lbs/acre),,,
